Country,Combined,Male,Female
<b>1st: Monaco</b>,53.1,51.7,54.5
<b>2nd: Japan</b>,47.3,46,48.7
<b>3rd: Germany</b>,47.1,46,48.2
Italy,45.5,44.4,46.5
Greece,44.5,43.5,45.6
Hong Kong,44.4,43.5,45
Austria,44,42.8,45.1
Spain,42.7,41.5,43.9
Netherlands,42.6,41.5,43.6
Finland,42.5,40.9,44.3
South Korea,41.8,40.2,43.4
France,41.4,39.6,43.1
Poland,40.7,39,42.4
United Kingdom,40.5,39.3,41.7
Russia,39.6,36.6,42.5
Norway,39.2,38.4,40
United States,38.1,36.8,39.4
New Zealand,37.9,37.1,38.8
China,37.4,36.5,38.4