Region and country of last residence 1,Austria-Hungary,Germany,Ireland,Italy,Russia,Norway and Sweden,United Kingdom,Rest of Europe,China,India,Philippines,Rest of Asia,Canada and Newfoundland,Mexico,Caribbean,Rest of America,Central America,South America,Africa,Oceania,Not Specified
1825,0,5753,51617,430,86,91,26336,15305,3,9,0,22,2297,3835,3061,463,57,405,19,2,19173
1835,0,124726,170672,2225,280,1149,74350,49451,8,38,0,9,11875,7187,11792,1057,94,957,66,1,83495
1845,0,385434,656145,1476,520,12389,218572,94887,32,33,0,56,34285,3069,11803,1370,297,1062,67,3,7196
1855,0,976072,1029486,8643,423,22202,445322,140469,35933,42,0,105,64171,3446,12447,4137,512,3569,104,110,71442
1865,3375,723734,427419,9853,1667,82937,532956,98448,54028,50,0,330,117975,1957,8809,1686,70,1536,458,107,15472
1875,60127,751769,422264,46296,34977,178823,578447,179347,133139,166,4,762,323974,5133,14592,2190,202,1109,441,9094,592
1885,314787,1445181,674061,267660,173081,586441,810900,366573,65797,247,1,5107,492508,2405,27600,7332,359,1954,768,7341,778
1895,534059,579072,405710,603761,413382,334058,328759,377610,15268,102,19,45915,2668,734,31885,3469,674,1389,432,3279,14112
1905,2001376,328722,344940,1930475,1501301,426981,469518,569256,19884,3026,605,276926,123067,31188,100960,22667,7341,15253,6326,11677,33493
1915,1154727,174227,166445,1229916,1106998,192445,371878,588775,20916,3478,0,245342,708715,185334,120860,55630,15692,39938,8867,12339,488
1925,60891,386634,201644,528133,61604,170329,342762,808343,30648,2076,0,94016,949286,498945,83482,59565,16511,43025,6362,9860,930
1935,13902,117736,28195,85053,2473,13452,61813,121780,5874,554,457,12407,162703,32709,18052,16855,6840,9990,2120,3240,0
1945,13677,119403,15701,50509,605,17326,131794,123509,16072,1692,4099,12669,160911,56158,46285,65081,20135,19662,6720,14262,135
1955,113015,576905,47189,189061,453,44231,195709,238410,8836,1922,17245,107841,353169,273847,115869,178759,40201,78418,13016,11319,12472
1965,27590,209616,37788,200111,2329,36150,220213,399646,14060,18638,70660,255205,433128,441824,427843,371390,98569,250754,23780,23659,119
1975,20387,77142,11461,150031,28132,10298,133218,395658,17627,148018,337726,903155,179267,621218,708643,394508,120376,273529,71405,39983,326
1985,20437,85752,22210,55562,33311,13941,153644,284837,170897,231649,502056,1486754,156313,1009586,789343,739262,339376,399803,141987,41432,305406
1995,27529,92207,65384,75992,433427,17825,156182,480673,342058,352528,534338,1630975,194788,2757418,1004114,1180822,610189,570596,346410,56800,25928
2005,33929,122373,15642,28329,167152,19382,171979,790823,591711,590464,545463,1743197,236349,1704166,1053357,1447657,591130,856508,759734,65793,211930