Entity,Code,Year,"Time spent alone, by age of respondent (United States)","Time spent with friends, by age of respondent (United States)","Time spent with children, by age of respondent (United States)","Time spent with with parents, siblings and other family, by age of respondent (United States)","Time spent with partner, by age of respondent (United States)","Time spent with coworkers, by age of respondent (United States)"
United States,USA,15,193.30588,109.4145,23.463852,267.12091,0,8.3420067
United States,USA,16,206.37056,110.7418,28.609867,254.3381,0.030690858,23.529137
United States,USA,17,224.17331,120.41887,26.089708,229.81561,1.1228406,43.809685
United States,USA,18,242.69839,137.75107,27.387308,236.35201,5.6972671,81.633575
United States,USA,19,267.79385,129.85716,36.445004,201.2766,19.341291,124.85052
United States,USA,20,277.60379,122.7402,54.630512,173.13503,26.35417,143.9003
United States,USA,21,270.21817,122.40627,69.293869,152.67331,59.897781,154.20972
United States,USA,22,283.56686,100.16862,72.302246,135.8266,55.767094,173.0473
United States,USA,23,270.93015,101.07177,96.935883,125.79333,78.188667,190.10524
United States,USA,24,265.81378,96.786346,99.394424,103.75845,99.44416,206.05486
United States,USA,25,275.12906,77.543015,119.50971,101.02744,121.25083,199.20917
United States,USA,26,281.63202,77.856834,128.59393,87.654915,139.91745,190.09406
United States,USA,27,259.3331,74.140686,153.33383,85.956535,151.88562,211.48781
United States,USA,28,261.13989,62.491688,175.83809,80.147217,168.24556,212.14497
United States,USA,29,253.66589,55.084454,194.49931,81.6101,176.19919,199.11349
United States,USA,30,250.02524,53.478016,199.76436,72.476334,180.02309,215.61365
United States,USA,31,253.16542,50.925926,225.92371,69.526543,203.71202,199.06003
United States,USA,32,255.07323,49.464462,230.71593,61.336475,192.00175,202.76134
United States,USA,33,244.90091,49.731628,256.41312,66.359383,200.02365,186.96373
United States,USA,34,263.59116,42.650288,261.18497,65.723053,199.23759,179.36411
United States,USA,35,262.62488,41.661636,248.93806,62.107143,198.27702,190.68065
United States,USA,36,273.27942,40.120937,256.59799,64.809921,197.55948,178.94667
United States,USA,37,267.09787,43.362503,256.37634,56.446011,204.00514,188.47969
United States,USA,38,258.99704,42.101093,254.45975,54.001514,203.30919,197.09261
United States,USA,39,281.98877,33.611919,266.07874,52.701588,212.07637,172.79756
United States,USA,40,278.25668,36.197014,242.43935,54.638985,201.94627,187.34126
United States,USA,41,292.07227,38.729492,237.29298,55.611694,194.68652,179.37498
United States,USA,42,297.90939,38.695633,222.96886,50.690075,182.25496,189.4864
United States,USA,43,321.74783,39.107994,207.65651,55.288914,181.83145,169.79688
United States,USA,44,312.69861,38.859802,207.01961,54.224209,191.94835,182.13411
United States,USA,45,309.03583,36.090996,199.21028,58.068977,183.99062,182.52716
United States,USA,46,326.78207,37.459354,177.52652,54.798512,186.65195,179.01489
United States,USA,47,338.24756,39.243477,168.4313,60.089104,181.05563,171.43033
United States,USA,48,332.5762,33.357357,157.297,58.556328,197.96497,170.06847
United States,USA,49,339.72601,37.315029,132.68301,58.63641,194.11002,187.72957
United States,USA,50,361.14328,28.917883,132.44537,65.362938,174.92821,168.1844
United States,USA,51,368.59146,35.627602,123.67976,62.211754,187.80592,172.19505
United States,USA,52,380.84085,33.961197,102.66885,65.243996,190.51634,176.08771
United States,USA,53,372.17041,31.585169,102.3604,59.573872,188.71446,168.29805
United States,USA,54,377.70459,34.837147,89.755821,60.021786,182.8898,184.43581
United States,USA,55,384.14532,33.079144,88.129921,60.739655,184.38846,162.92227
United States,USA,56,387.00711,36.820248,78.608688,66.083549,195.93608,154.11407
United States,USA,57,399.18466,31.479084,73.898285,58.831005,185.31619,157.73422
United States,USA,58,409.77731,35.2756,68.309761,65.851311,186.54398,140.36014
United States,USA,59,411.51978,29.068735,70.334312,67.322807,199.87039,140.17371
United States,USA,60,413.32019,35.94643,61.933525,65.528786,204.63687,125.92768
United States,USA,61,414.82727,32.807606,71.07634,60.896008,205.22923,126.77782
United States,USA,62,425.2204,34.453568,57.484367,56.583904,224.05167,96.651878
United States,USA,63,430.51068,36.147518,62.510818,73.459251,232.44521,78.317001
United States,USA,64,449.01306,35.180847,55.407318,63.962303,231.84886,78.246071
United States,USA,65,444.02954,35.90049,57.586105,65.28495,242.53215,62.186493
United States,USA,66,431.98727,40.828274,59.682854,69.281334,255.86,50.919098
United States,USA,67,433.85413,38.98082,62.771469,58.832348,258.14743,44.558029
United States,USA,68,448.22601,41.382526,53.818981,53.716782,260.36365,39.273418
United States,USA,69,443.00061,42.001629,68.845222,61.424671,270.69342,27.190746
United States,USA,70,448.85193,45.80217,52.782196,47.977863,261.86359,26.851473
United States,USA,71,444.47784,44.433987,59.073078,58.145714,266.694,21.892221
United States,USA,72,474.45526,44.234802,46.338203,57.166805,261.05215,20.653986
United States,USA,73,451.40637,36.592476,56.115063,56.550076,276.13379,18.386124
United States,USA,74,458.6745,40.508751,48.986588,66.20977,254.44495,14.613341
United States,USA,75,463.43195,39.079994,48.644051,56.281876,252.93309,16.36656
United States,USA,76,456.49493,41.503906,44.339306,51.955276,266.23712,19.662245
United States,USA,77,454.3125,33.595589,46.719131,67.455605,272.73013,12.47935
United States,USA,78,461.63959,39.297825,42.985035,59.704296,256.41376,3.2494414
United States,USA,79,485.83075,41.975792,38.609028,51.944447,235.3701,4.5325632
United States,USA,80,476.76736,35.589745,45.010258,66.100365,227.04634,5.2152042
United States,USA,85,501.88327,36.37146,45.463383,65.052567,158.42017,3.5733819